field,question,model_answer,keywords,difficulty,student_answer,score,label
Operating Systems,"In your own words, what is paging?",Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Easy,paging is memory scheme for contiguous of physical memory dividing memory paging,51.0,Average
Python,EXPLAIN: WHAT IS A DICTIONARY IN PYTHON?,A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Easy,a refers to an unordered collection of key-value pairs where each is unique.,83.0,Good
Computer Networks,give a short note on: what is a router,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Medium,"to put it simply, router is a networking device which data packets different networks based their destination address.",78.0,Good
DBMS,Give a short note on: what is ACID property in DBMS,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Hard,asdkj random text here nothing useful,13.0,Poor
Python,what is a dictionary in python?,A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Hard,A dictionary is unordered of key-value key is unique.,52.0,Average
Data Structures,Briefly explain what is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Medium,queue is a linear data structure that follows the First In First Out where insertion happens at the rear and at the front.,88.0,Excellent
DBMS,BRIEFLY EXPLAIN WHAT IS A PRIMARY KEY?,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Medium,this is related to computers and programming somehow. it might relate to null.,27.0,Poor
DBMS,What is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"DELETE removes rows at a time and can be rolled back, while removes all rows at and cannot usually be rolled back.",84.0,Good
Data Structures,"in your own words, what is dynamic programming?",Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Hard,"BASICALLY SPEAKING, DYNAMIC PROGRAMMING AN OPTIMIZATION SOLVES COMPLEX PROBLEMS BY BREAKING THEM INTO SUBPROBLEMS AND STORING RESULTS TO RECOMPUTATION.",85.0,Excellent
DBMS,Briefly explain what is a transaction in DBMS?,A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Easy,A TRANSACTION REFERS TO A SEQUENCE OF ONE OR MORE OPERATIONS EXECUTED AS A SINGLE LOGICAL UNIT OF WORK THAT EITHER FULLY COMPLETES OR FULLY FAILS.,94.0,Excellent
Operating Systems,"in your own words, what is paging?",Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Easy,"basically speaking, This is related to computers and programming somehow.",25.0,Poor
Computer Networks,Give a short note on: what is a MAC address,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Medium,"basically speaking, A MAC address refers to a unique hardware identifier assigned to a network interface controller for use at the data link layer.",96.0,Excellent
Computer Networks,What is a firewall?,A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on defined rules.,"firewall, security, filter, traffic",Hard,firewall network monitors and incoming and network traffic based on defined rules.,50.0,Average
Computer Networks,"In your own words, what is HTTP?","HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Easy,"SO LIKE, HYPERTEXT PROTOCOL, REFERS TO THE APPLICATION LAYER PROTOCOL FOR TRANSMITTING PAGES OVER THE INTERNET.",86.0,Excellent
Python,Briefly explain what is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Hard,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.",91.0,Excellent
OOP,Explain: What is a constructor?,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Hard,A CONSTRUCTOR IS A SPECIAL METHOD AUTOMATICALLY CALLED WHEN AN OBJECT IS CREATED THAT INITIALIZES THE OBJECT'S ATTRIBUTES.,96.0,Excellent
OOP,"In your own words, what is polymorphism?","Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Easy,"objects of different to as objects of superclass, letting method differently. polymorphism",68.0,Good
Operating Systems,Give a short note on: what is a scheduler in OS,A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Easy,A is the component of the operating that decides which runs on the CPU at a given,70.0,Good
